stimFile,feeling,n,key_resp_2.duration_raw,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,slider_2.response_mean,slider_2.response_raw,order
stims/sad.mp4,sadness,1.0,,'space',-25.357662200927734,-25.357662200927734,0.0,3.006172839506173,3.006172839506173,0.0
stims/happy.mp4,happiness,1.0,,'space',-27.795133590698242,-27.795133590698242,0.0,3.2839506172839505,3.2839506172839505,1.0
stims/neutral.mp4,neutrality,1.0,,'space',-25.665231704711914,-25.665231704711914,0.0,3.493827160493827,3.493827160493827,2.0

extraInfo
participant,1
gender,male
age,283
date,2023-08-17_17h37.41.437
expName,untitled
psychopyVersion,2023.2.0
frameRate,59.99001765488934
expStart,2023-08-17 17h37.59.220584 +0200
